Progress,Duration (in seconds),Finished,ResponseId,S1_4,S1_5,S1_6,S2_4,S2_5,S2_6,S3_4,S3_5,S3_6,S4_4,S4_5,S4_6,S5_4,S5_5,S5_6,S6_4,S6_5,S6_6,S7_4,S7_5,S7_6,S8_4,S8_5,S8_6,S9_4,S9_5,S9_6,S10_4,S10_5,S10_6,S11_4,S11_5,S11_6,S12_4,S12_5,S12_6,S13_4,S13_5,S13_6,S14_4,S14_5,S14_6,S15_4,S15_5,S15_6,S16_4,S16_5,S16_6,S17_4,S17_5,S17_6,S18_4,S18_5,S18_6,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,287,TRUE,R_3kh9YEEgJjV7swC,,,,,,,10,50,10,65,90,75,,,,,,,,,,,,,,,,,,,,,,,,,95,95,91,,,,87,95,82,,,,5,2,5,25,80,20,,46,Male,White / Caucasian,,Vocational/Technical School (2 year),Rung 3,,,getting an advance payday loan,paying for a day-pass to the gym,,,,,,,,,calling the taxi company,,requesting supplies to be airdropped,,staging a break-in at the store,carrying her competitor on her sled
100,328,TRUE,R_W2pvFD7ebPDrpxD,,,,,,,,,,,,,,,,11,74,76,35,62,57,89,92,91,62,68,62,,,,,,,33,48,48,,,,,,,,,,0,1,1,,,,,,,,56,Female,White / Caucasian,,High School or equivalent,Rung 5,,,,,,huddling to conserve energy,giving her ticket to Ted,asking the parents if they know him,honking at the driver until they pull over,,,storing the knife in an airport locker,,,,yelling at Todd for getting stuck,,
100,1560,TRUE,R_3eaVIELHnKoe7XJ,8,34,6,2,1,1,,,,35,43,80,,,,10,1,1,71,18,61,,,,,,,,,,,,,,,,20,3,11,,,,,,,,,,,,,,,,,40,Female,White / Caucasian,,College Graduate (4 year),Rung 3,going on strike for better wages,demanding that the airline delays the flight,,paying for a day-pass to the gym,,stealing all of the food and water,going without Ted,,,,,,blaming it on the maid of honor,,,,,
100,367,TRUE,R_O8e4QMO47Ai3GaB,,,,,,,15,7,14,,,,66,75,72,,,,,,,,,,,,,,,,,,,23,13,17,21,37,44,,,,60,69,71,5,8,8,,,,,,,,71,Male,White / Caucasian,,College Graduate (4 year),Rung 5,,,overcharging the next customers,,bringing in the assignment the next day,,,,,,,pretending the knife is part of a hip replacement,borrowing their mom’s wedding ring,,rationing their food,getting her arm stuck in solidarity,,
100,535,TRUE,R_3h5wGL1jzOw9SQs,,,,,,,,,,95,100,94,,,,,,,,,,,,,70,100,70,,,,,,,80,70,70,,,,,,,0,0,0,100,100,100,95,100,95,,,,,63,Male,White / Caucasian,,High School or equivalent,Rung 4,,,,borrowing someone's phone,,,,,pulling over and calling 911,,,storing the knife in an airport locker,,,serving engine fuel to the passengers,leaving Todd to save herself,asking a friend to take over,
100,529,TRUE,R_3M57gwbHMFhZbaj,,,,50,90,50,,,,,,,,,,70,86,87,,,,,,,,,,20,35,50,0,0,0,,,,,,,25,82,83,,,,,,,,,,100,95,95,,78,Male,White / Caucasian,,Vocational/Technical School (2 year),Rung 6,,taking a public bus,,,,huddling to conserve energy,,,,refusing to drive her,lighting a fire under the car,,,getting another job,,,,finishing the race
100,282,TRUE,R_33qYUHNlR0GnD68,,,,,,,,,,70,89,77,7,6,13,75,88,87,,,,,,,21,63,54,7,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,44,Female,White / Caucasian,,College Graduate (4 year),Rung 7,,,,borrowing someone's phone,lying that her house burnt down,searching for a water source,,,pulling over and calling 911,stealing whatever she has on her,,,,,serving engine fuel to the passengers,,,
100,310,TRUE,R_2YmkuVhSphBq2iL,98,100,100,,,,40,50,20,,,,,,,,,,,,,30,25,11,,,,,,,,,,59,50,23,50,30,50,,,,93,100,86,,,,,,,,,,,19,Male,Black / African American,,Some College,Rung 5,starting a fundraiser,,staging a robbery,,,,,tackling him and holding him down,,,,pretending the knife is part of a hip replacement,running away,,rationing their food,,,
100,312,TRUE,R_DjW8ut5U1Zukx0t,,,,,,,0,0,0,100,80,100,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,40,Male,White / Caucasian,,College Graduate (4 year),Rung 6,,,paying the money from his own wallet,renewing her membership,,,,,,,checking that the doors are locked,threatening security with the knife,,,,sawing Todd’s arm off,,leaving her dogs with him
100,467,TRUE,R_1BPlI0DI0Wd5cMk,80,100,90,,,,,,,,,,100,100,92,,,,,,,,,,,,,50,70,50,,,,,,,,,,,,,,,,20,0,0,50,10,30,19,20,20,,24,Male,Hispanic / Latino,,College Graduate (4 year),Rung 4,taking out a loan,,,,quickly trying to redo the assignment,,,,,taking her to his house but no further,,,,,,getting her arm stuck in solidarity,locking up the store,carrying her competitor on her sled
